JENIS FASYANKES,NAMA,LONGITUDE,LATITUDE,PROVINSI,KABUPATEN,STATUS OPERASIONAL,KECAMATAN,DESA,GEOCODE_STATUS
Puskesmas,Lokop,97.42379,4.41929,Aceh,Aceh Timur,Belum Beroperasi,,,no_data
Puskesmas,Peusangan,96.78749,5.19671,Aceh,Bireuen,Belum Beroperasi,Peusangan,Keude Matang Glumpang Dua,ok
Puskesmas,Rusip Antara,96.62975,4.6302,Aceh,Aceh Tengah,Belum Beroperasi,Rusip Antara,Pantan Tengah,ok
Puskesmas,Jambur Lak-Lak,97.69628,3.64224,Aceh,Aceh Tenggara,Belum Beroperasi,,Kutejamburlak-Lak,ok
Rumah Sakit,RS Umum Daerah Dr. H. Yulidin Away,97.3665,3.00035,Aceh,Aceh Selatan,Beroperasi,Kluet Selatan,Pasie Lembang,ok
Rumah Sakit,RS Umum Daerah H. Sahudin Kutacane,97.5891,3.76794,Aceh,Aceh Tenggara,Beroperasi,Pintu Rime Gayo,Singah Mulo,ok
Rumah Sakit,RS Ibu dan Anak Keluarga Desa,97.82262,3.47056,Aceh,Aceh Tenggara,Beroperasi,,Perapattitipanjang,ok
Rumah Sakit,RS Umum Nurul Hasanah,97.8085569,3.4957305,Aceh,Aceh Tenggara,Beroperasi,,Kampungmelayu Satu,ok
Rumah Sakit,RS Umum Daerah dr. Zubir Mahmud,97.79774,4.91983,Aceh,Aceh Timur,Beroperasi,,Ketapangdua,ok
Rumah Sakit,RS Umum Graha Bunda,97.76336,4.95734,Aceh,Aceh Timur,Beroperasi,Blang Bintang,Teupin Batee,ok
Rumah Sakit,RS Umum Daerah Sultan Abdul Aziz Syah Peureulak,97.893,4.80925,Aceh,Aceh Timur,Beroperasi,Peureulak,Keude Peureulak,ok
Rumah Sakit,RS Umum Fandika,96.84677,4.62438,Aceh,Aceh Tengah,Beroperasi,,Blangkolak Satu,ok
Rumah Sakit,RS Umum Daerah Datu Beru Takengon,96.85176,4.63634,Aceh,Aceh Tengah,Beroperasi,Bebesen,Mongal,ok
Rumah Sakit,RS Umum Daerah Cut Nyak Dhien,96.12977,4.15626,Aceh,Aceh Barat,Beroperasi,Johan Pahwalan,Rundeng,ok
Rumah Sakit,RS Umum Montella,96.1191,4.17221,Aceh,Aceh Barat,Beroperasi,Blang Mangat,Seuneubok,ok
Rumah Sakit,RS Umum Harapan Sehat,96.13423,4.17014,Aceh,Aceh Barat,Beroperasi,Johan Pahwalan,Leuhan,ok
Rumah Sakit,RS Tk. IV IM 07.02,96.1327488,4.1317561,Aceh,Aceh Barat,Beroperasi,Johan Pahwalan,Pasar Aceh,ok
Rumah Sakit,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,97.10364,5.09359,Aceh,Pidie,Beroperasi,,Ietarek Dua,ok
