label,nama,objectid,fid2,nama2,jenis,statusjln,nama_provinsi,nama_kabupaten,keterangan,dampak,status1,penanganan,target_selesai,bailey,latitude,longitude,baseline_sumber
Lambaro - Batas Pidie,e3ef5934-60f7-4d27-bd06-88123bbca40b,19,43,Lambaro - Batas Pidie,Jalan,Nasional,Aceh,Aceh Besar,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Sudah ditangani,,,5.368876999999998,95.56527900000003,BNPB/PU
Bts. Bireuen/Aceh Utara – Bts. Kota Lhokseumawe/Bts. Aceh Utara,016757d7-ad83-4104-8067-88d107fc17a2,20,46,Bts. Bireuen/Aceh Utara – Bts. Kota Lhokseumawe/Bts. Aceh Utara,Jalan,Nasional,Aceh,Bireuen,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Menutup sementara jalan yang tidak bisa dilalui oleh kendaraan,,,5.254072069000017,96.93818385200001,BNPB/PU
Bts. Aceh Utara/Lhokseumawe - Sp. Cunda,8e201848-2857-4ccc-90c8-5ecf0b279806,21,47,Bts. Aceh Utara/Lhokseumawe - Sp. Cunda,Jalan,Nasional,Aceh,Kota Lhokseumawe,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Menutup sementara jalan yang tidak bisa dilalui oleh kendaraan,,,5.211816892000002,97.06876668000001,BNPB/PU
Bts. Kota Lhokseumawe/Aceh Utara – Lhoksukon,0bf11b6a-7b08-4f0e-94bf-0f56148afc34,22,49,Bts. Kota Lhokseumawe/Aceh Utara – Lhoksukon,Jalan,Nasional,Aceh,Aceh Utara,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Menutup sementara jalan yang tidak bisa dilalui oleh kendaraan,,,5.041264000000012,97.32233300000001,BNPB/PU
Bts. Kota Langsa/Aceh Timur – Kota Langsa,2057b7c1-f312-4854-8f33-c5152b86a890,23,54,Bts. Kota Langsa/Aceh Timur – Kota Langsa,Jalan,Nasional,Aceh,Kota Langsa,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Menutup sementara jalan yang tidak bisa dilalui oleh kendaraan,,,4.511745175000044,97.94582502800006,BNPB/PU
"Kota Kuala Simpang – Bts. Provinsi Sumut, Kuala Simpang Aceh",8626fa62-1056-4a9f-8a0c-a2f76e9add44,24,53,"Kota Kuala Simpang – Bts. Provinsi Sumut, Kuala Simpang Aceh",Jalan,Nasional,Aceh,Aceh Tamiang,Tanah Longsor,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Menutup sementara jalan yang tidak  bisa dilalui oleh kendaraan,,,4.280776862000039,98.05696841100001,BNPB/PU
Calang – Bts. Aceh Jaya/Aceh Barat,5fb18748-6edb-4dd5-9c02-a8bc7803b9d3,25,57,Calang – Bts. Aceh Jaya/Aceh Barat,Jalan,Nasional,Aceh,Aceh Jaya,Tanah Longsor,Gangguan akses lalu lintas kendaraan mengalami kemacetan,Dapat Diakses,Memasang rambu-rambu di sekitar lokasi dan sedang dilakukan pembersihan material longsor,,,4.616493984000044,95.61638910300002,BNPB/PU
Bts. Aceh Jaya/Aceh Barat – Bts. Kota Meulaboh,41e31d09-5d1d-449e-950e-72ea1624610e,26,58,Bts. Aceh Jaya/Aceh Barat – Bts. Kota Meulaboh,Jalan,Nasional,Aceh,Aceh Barat,Banjir,Gangguan akses lalu lintas kendaraan mengalami kemacetan,Dapat Diakses,Pembersihan sedimen,,,4.179678433000049,96.10530706300005,BNPB/PU
Tapaktuan – Bakongan,bc3a180f-89d3-440d-a9f6-96e865bc5db8,27,60,Tapaktuan – Bakongan,Jalan,Nasional,Aceh,Aceh Selatan,Tanah Longsor,Gangguan akses lalu lintas kendaraan sementara (saat ini sudah aman dan Lancar),Dapat Diakses,Pembersihan Sendimen Lumpur sisa banjir pada badan Jalan,,,3.0882400000000416,97.33045100000004,BNPB/PU
Bakongan (Km 510) -  Bts. Aceh Selatan/Subulussalam,9aecd84e-d3e7-4853-a9b5-c747b488ead7,28,61,Bakongan (Km 510) -  Bts. Aceh Selatan/Subulussalam,Jalan,Nasional,Aceh,Kota Subulussalam,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,"Memasang rambu-rambu di sekitar lokasi, sudah ditangani dan kendaraan sudah bisa melintas",,,2.847778973000004,97.82453208300001,BNPB/PU
Krueng Luas (Km 560) – Kota Subulussalam,b15f675c-cd11-443f-965a-aa0330e64214,29,62,Krueng Luas (Km 560) – Kota Subulussalam,Jalan,Nasional,Aceh,Kota Subulussalam,Banjir,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Sudah ditanganin,,,2.7333380000000034,97.96113500000001,BNPB/PU
Ruas Jalan Bts. Subulussalam/Aceh Singkil – Lipat Kajang,1924669c-d9ad-4cb7-979f-eb043a357000,30,64,Ruas Jalan Bts. Subulussalam/Aceh Singkil – Lipat Kajang,Jalan,Nasional,Aceh,Aceh Singkil,Banjir,Saat ini air sudah surut jalan sudah bisa dilewati kendaraan dari kedua arah dengan tetap hati-hati,Dapat Diakses,Pemasangan Rambu Peringatan Rawan Banjir dan pengamanan arus lalu lintas oleh petugas,,,2.448888385000032,97.99868115700002,BNPB/PU
Kota Subulussalam – Bts. Prov. Sumut,712c14b9-1cf0-40e3-8040-da2657d9b4c7,31,63,Kota Subulussalam – Bts. Prov. Sumut,Jalan,Nasional,Aceh,Kota Subulussalam,Tanah Longsor,Gangguan akses lalu lintas kendaraan,Dapat Diakses,Pemasangan Rambu Peringatan Rawan Banjir dan pengamanan arus lalu lintas oleh petugas,,,2.624158798000053,98.03318873600006,BNPB/PU
Bts. Aceh Tengah/Nagan Raya - Lhok Seumot - Jeuram,c1a64bff-d99b-47d9-8ad7-0992f6f7e375,32,69,Bts. Aceh Tengah/Nagan Raya - Lhok Seumot - Jeuram,Jalan,Nasional,Aceh,Nagan Raya,Tanah Longsor,Badan jalan amblas (akses terputus),Dapat Diakses,"Memasang rambu-rambu di sekitar lokasi, sudah ditangani dan kendaraan sudah bisa melintas",,,4.256816264999998,96.42008812400002,BNPB/PU
Genting Gerbang – Celala – Bts. Aceh Tengah/Nagan Raya,e8421c6e-32fd-469f-9f18-2272500855a7,33,70,Genting Gerbang – Celala – Bts. Aceh Tengah/Nagan Raya,Jalan,Nasional,Aceh,Nagan Raya,Tanah Longsor,Gangguan akses lalu lintas yang menutupi badan jalan,Dapat Diakses,Memasang rambu dan menutup sementara akses jalan dari Kab. Nagan Raya ke Kab. Aceh Tengah,1/20/2026,,4.526202108000007,96.66084222100005,BNPB/PU
Keumala – Geumpang,9928f873-402c-4e42-b962-9dabd8accaf4,34,65,Keumala – Geumpang,Jalan,Nasional,Aceh,Pidie,Tanah Longsor,Badan jalan amblas,Dapat Diakses,Memasang rambu dan menutup sementara akses jalan dari Kab. Aceh Tengah ke Kab. Nagan Raya dan sebaliknya.,,,4.969108000000006,95.96007200000003,BNPB/PU
Geumpang – Pameue,0b4e287e-7c55-43bc-97c0-6b10fbf3b487,35,66,Geumpang – Pameue,Jalan,Nasional,Aceh,Aceh Tengah,Tanah Longsor,Material longsoran dan pohon tumbang menutupi badan jalan,Dapat Diakses,Memasang rambu-rambu di sekitar lokasi dan sedang dilakukan pembersihan material longsor,,,4.694907689000047,96.498013678,BNPB/PU
Pameue – Genting Gerbang,a10d74ab-93fe-46d6-aa94-2fe74cbc84c8,36,74,Pameue – Genting Gerbang,Jalan,Nasional,Aceh,Aceh Tengah,Tanah Longsor,Badan jalan amblas,Dapat Diakses,Sudah dilakukan pembersihan dan akses lalu lintas sudah dapat dilalui,1/20/2026,,4.6763650000000325,96.56515100000001,BNPB/PU
Sp. Uning (Bts. Kota Takengon) – Uwaq (Km 379),88e21234-64ac-4229-9067-6c14449d66e2,37,75,Sp. Uning (Bts. Kota Takengon) – Uwaq (Km 379),Jalan,Nasional,Aceh,Aceh Tengah,Tanah Longsor,Material longsoran menutupi badan jalan,Dapat Diakses,Penggunaan Jembatan Bailey dengan bentang 40 M,1/20/2026,Terpasang,4.615544999999997,96.81701300000003,BNPB/PU
Bts. Aceh Tengah/Gayo Lues – Blangkejeren (N.022),1f7a15a8-1573-4aae-95c7-c8f9aba9dd3e,38,77,Bts. Aceh Tengah/Gayo Lues – Blangkejeren (N.022),Jalan,Nasional,Aceh,Aceh Tengah,Tanah Longsor,Akses lalu lintas lumpuh total karena tinggi air mencapai 70 cm.,Dapat Diakses,Memasang rambu-rambu di sekitar lokasi,,,4.254953927000031,97.17733773200001,BNPB/PU
Blangkejeren - Bts. Gayo Lues/Aceh Tenggara (023),35f80808-e51e-4347-9e13-631165009f30,39,78,Blangkejeren - Bts. Gayo Lues/Aceh Tenggara (023),Jalan,Nasional,Aceh,Gayo Lues,Tanah Longsor,Badan jalan putus,Dapat Diakses,Sedang dilakukan pembersihan,,,3.996594814000048,97.34122103300001,BNPB/PU
Bts. Gayo Lues/A. Tenggara – Kota Kutacane,bcc2be5c-60ba-40e8-94b1-14b847c75803,40,79,Bts. Gayo Lues/A. Tenggara – Kota Kutacane,Jalan,Nasional,Aceh,Gayo Lues,Banjir,Banjir di atas badan jalan,Dapat Diakses,Menurunkan alat berat untuk pembersihan sedimen,,,3.644029210000042,97.69222534300002,BNPB/PU
Kota Kutacane – Bts. Prov. Sumut,60536336-8608-4dcd-b786-fd285a1f80bd,41,67,Kota Kutacane – Bts. Prov. Sumut,Jalan,Nasional,Aceh,Aceh Tenggara,Banjir,Banjir di atas Jembatan Lawe Kuning II dan badan jalan,Dapat Diakses,Memasang rambu-rambu,,,3.445042716000046,97.85328972500002,BNPB/PU
Kota Bireuen -Bts. Bireuen/Bener Meriah,c86faa06-40c1-48ec-ba25-dd968aaf9e6e,42,71,Kota Bireuen -Bts. Bireuen/Bener Meriah,Jalan,Nasional,Aceh,Bireuen,Tanah Longsor,"Jalan terputus, gangguan akses lalu lintas kendaraan",Dapat Diakses,Kebutuhan Jembatan Bailey 30 M (belum tersedia),,,5.194108209000035,96.70241876700004,BNPB/PU
Bts. Bireuen/Bener Meriah - Bener Meriah/Aceh Tengah,3f428845-06e2-4609-bfe7-51b208a93343,43,72,Bts. Bireuen/Bener Meriah - Bener Meriah/Aceh Tengah,Jalan,Nasional,Aceh,Bener Meriah,Tanah Longsor,Kerusakan bangunan bawah (abutment) jembatan mengakibatkan gangguan akses lalu lintas kendaraan,Dapat Diakses,Tuntas,1/20/2026,,4.754296813000053,96.76764084100006,BNPB/PU
