label,kode,nama,id_provinsi
KAB. ACEH SELATAN,11.01,KAB. ACEH SELATAN,11
KAB. ACEH TENGGARA,11.02,KAB. ACEH TENGGARA,11
KAB. ACEH TIMUR,11.03,KAB. ACEH TIMUR,11
KAB. ACEH TENGAH,11.04,KAB. ACEH TENGAH,11
KAB. ACEH BARAT,11.05,KAB. ACEH BARAT,11
KAB. ACEH BESAR,11.06,KAB. ACEH BESAR,11
KAB. PIDIE,11.07,KAB. PIDIE,11
KAB. ACEH UTARA,11.08,KAB. ACEH UTARA,11
KAB. SIMEULUE,11.09,KAB. SIMEULUE,11
KAB. ACEH SINGKIL,11.10,KAB. ACEH SINGKIL,11
KAB. BIREUEN,11.11,KAB. BIREUEN,11
KAB. ACEH BARAT DAYA,11.12,KAB. ACEH BARAT DAYA,11
KAB. GAYO LUES,11.13,KAB. GAYO LUES,11
KAB. ACEH JAYA,11.14,KAB. ACEH JAYA,11
KAB. NAGAN RAYA,11.15,KAB. NAGAN RAYA,11
KAB. ACEH TAMIANG,11.16,KAB. ACEH TAMIANG,11
KAB. BENER MERIAH,11.17,KAB. BENER MERIAH,11
KAB. PIDIE JAYA,11.18,KAB. PIDIE JAYA,11
KOTA BANDA ACEH,11.71,KOTA BANDA ACEH,11
KOTA SABANG,11.72,KOTA SABANG,11
KOTA LHOKSEUMAWE,11.73,KOTA LHOKSEUMAWE,11
KOTA LANGSA,11.74,KOTA LANGSA,11
KOTA SUBULUSSALAM,11.75,KOTA SUBULUSSALAM,11
KAB. TAPANULI TENGAH,12.01,KAB. TAPANULI TENGAH,12
KAB. TAPANULI UTARA,12.02,KAB. TAPANULI UTARA,12
KAB. TAPANULI SELATAN,12.03,KAB. TAPANULI SELATAN,12
KAB. NIAS,12.04,KAB. NIAS,12
KAB. LANGKAT,12.05,KAB. LANGKAT,12
KAB. KARO,12.06,KAB. KARO,12
KAB. DELI SERDANG,12.07,KAB. DELI SERDANG,12
KAB. SIMALUNGUN,12.08,KAB. SIMALUNGUN,12
KAB. ASAHAN,12.09,KAB. ASAHAN,12
KAB. LABUHANBATU,12.10,KAB. LABUHANBATU,12
KAB. DAIRI,12.11,KAB. DAIRI,12
KAB. TOBA SAMOSIR,12.12,KAB. TOBA SAMOSIR,12
KAB. MANDAILING NATAL,12.13,KAB. MANDAILING NATAL,12
KAB. NIAS SELATAN,12.14,KAB. NIAS SELATAN,12
KAB. PAKPAK BHARAT,12.15,KAB. PAKPAK BHARAT,12
KAB. HUMBANG HASUNDUTAN,12.16,KAB. HUMBANG HASUNDUTAN,12
KAB. SAMOSIR,12.17,KAB. SAMOSIR,12
KAB. SERDANG BEDAGAI,12.18,KAB. SERDANG BEDAGAI,12
KAB. BATU BARA,12.19,KAB. BATU BARA,12
KAB. PADANG LAWAS UTARA,12.20,KAB. PADANG LAWAS UTARA,12
KAB. PADANG LAWAS,12.21,KAB. PADANG LAWAS,12
KAB. LABUHANBATU SELATAN,12.22,KAB. LABUHANBATU SELATAN,12
KAB. LABUHANBATU UTARA,12.23,KAB. LABUHANBATU UTARA,12
KAB. NIAS UTARA,12.24,KAB. NIAS UTARA,12
KAB. NIAS BARAT,12.25,KAB. NIAS BARAT,12
KOTA MEDAN,12.71,KOTA MEDAN,12
KOTA PEMATANGSIANTAR,12.72,KOTA PEMATANGSIANTAR,12
KOTA SIBOLGA,12.73,KOTA SIBOLGA,12
